X,Y,Z,formation
1101681.919,1248465.898,840.4529,K1ls_ms
1101766.417,1248519.378,851.4397,K1ls_ms
1101817.116,1248551.466,829.4659,K1ls_ms
1101935.414,1248626.338,853.1746,K1ls_ms
1102079.06,1248717.253,875.7269,K1ls_ms
1102214.257,1248802.821,894.8341,K1ls_ms
1102459.301,1248957.912,925.5117,K1ls_ms
1102695.896,1249107.656,964.2962,K1ls_ms
1102932.49,1249257.399,986.3022,K1ls_ms
1103126.836,1249380.402,1014.637,K1ls_ms
1103354.98,1249524.798,1059.1985,K1ls_ms
1103574.675,1249663.845,1091.6338,K1ls_ms
1103752.121,1249776.153,1113.0541,K1ls_ms
1104005.615,1249936.592,1154.1583,K1ls_ms
1104216.86,1250070.291,1183.6907,K1ls_ms
1104470.354,1250230.73,1227.6806,K1ls_ms
1104690.049,1250369.778,1257.8173,K1ls_ms
1104825.246,1250455.345,1280.3958,K1ls_ms
1104960.443,1250540.913,1298.929,K1ls_ms

1108771.303,1252952.85,1561.5664,K1ls_ms
1109835.978,1253626.695,1560.3336,K1ls_ms
1109971.175,1253712.263,1545.2726,K1ls_ms
1111289.344,1254546.547,1551.232,K1ls_ms
1112108.975,1255065.301,1573.7945,K1ls_ms
1112269.521,1255166.912,1587.2892,K1ls_ms
1113156.751,1255728.45,1597.3959,K1ls_ms

1113241.249,1255781.929,1632.8559,K1ls_ms

1114212.976,1256396.947,1642.8139,K1ls_ms
1114432.671,1256535.994,1658.4465,K1ls_ms
1115091.755,1256953.136,1669.211,K1ls_ms


1101681.919,1248465.898,786.3214,K1ls_mm
1101766.417,1248519.378,800.8414,K1ls_mm
1101817.116,1248551.466,791.4462,K1ls_mm
1101952.313,1248637.034,811.9451,K1ls_mm
1102070.61,1248711.905,838.4232,K1ls_mm
1102180.458,1248781.429,856.3599,K1ls_mm
1102459.301,1248957.912,889.7436,K1ls_mm
1102712.795,1249118.351,923.1222,K1ls_mm
1103050.787,1249332.271,969.3071,K1ls_mm
1103329.631,1249508.754,1007.7974,K1ls_mm
1103616.924,1249690.585,1057.3948,K1ls_mm
1103861.968,1249845.676,1097.602,K1ls_mm
1104115.462,1250006.115,1130.1206,K1ls_mm
1104377.406,1250171.903,1164.333,K1ls_mm
1104614.001,1250321.646,1216.5014,K1ls_mm
1104850.595,1250471.389,1244.7264,K1ls_mm
1105028.041,1250583.697,1277.1831,K1ls_mm


1108720.605,1252920.762,1513.1314,K1ls_mm
1109007.898,1253102.594,1514.057,K1ls_mm
1109379.689,1253337.904,1515.6496,K1ls_mm
1109734.581,1253562.519,1517.3329,K1ls_mm
1109903.577,1253669.479,1511.4419,K1ls_mm
