X,Y,Z,azimuth,dip,polarity,formation

1110128.3000,1256763.9000,1430.1900,141.5,0.5,0.1,sandstone_layer1

1115192.1000,1256953.2000,1671.3500,141.5,0.5,0.1,sandstone_layer2


1114700.0000,1250700.0000,1516.1200,350,7,0.1,sandstone_layer1

1107117,1243469,1699.7256,220,17,0.1,sandstone_layer1



1112544.263,1256098.33,1585.38672,202,83,1,F.Lejia
1109658.614,1256992.824,1018.55231,202,83,1,F.Lejia
1118551.466,1252657.398,1152.79688,202,82,1,F.Lejia


1102533,1247106,1023.04071,30,75,1,F.LosSantos
1104516,1243718,1191.64429,67,75,1,F.LosSantos


1111319.124,1249462.321,1667.79565,202,84,1,F.Aljibe
1106244.564,1251641.463,787.74384,213,84,1,F.Aljibe
1108687.592,1246778.632,1604.69507,20,85,0.5,F.Potreros

1111126,1258145,1397.57129,168,80,1,Falla_SJ
1101783,1253827,416.13889,158,82,1,Falla_SJ
1106644,1255836,630.4129,158,81,1,Falla_SJ

1112997.483,1252068.654,1616.83545,41,82,1,F.Honda
1104899.243,1252849.251,663.79126,153,78,1,F_NN1


1108338.127,1245008.541,1641.3938,60,65,1,F.Mojarra
1111406.296,1243797.076,1623.48914,258,65,1,F.Calaveras
1109669.752,1245792.044,1634.34998,258,65,1,F.Calaveras
