X,Y,Z,formation

1110128.3000,1256763.9000,1470.2100,sandstone_layer4
1110443.0000,1253514.0000,1557.1900,sandstone_layer4
1115192.1000,1256953.2000,1684.1000,sandstone_layer4
1113822.077,1244388.249,1688.77,sandstone_layer4
1111932,1251951,1584,sandstone_layer4
1109801.423,1241409.746,1613.15,sandstone_layer4


1110128.3000,1256763.9000,1469.2900,mudstone_layer3
1110443.0000,1253514.0000,1555.2900,mudstone_layer3
1115192.1000,1256953.2000,1683.5700,mudstone_layer3
1113822.077,1244388.249,1688.22,mudstone_layer3
1111932,1251951,1583,mudstone_layer3
1109801.423,1241409.746,1612.41,mudstone_layer3


1115192.1000,1256953.2000,1675.8900,sandstone_layer3
1110443.0000,1253514.0000,1549.1800,sandstone_layer3
1110128.3000,1256763.9000,1466.9300,sandstone_layer3
1111932,1251951,1582,sandstone_layer3
1109801.423,1241409.746,1599.00,sandstone_layer3
1113822.077,1244388.249,1680.04,sandstone_layer3
1110569.862,1239458.194,1513.314929,sandstone_layer3

1115192.1000,1256953.2000,1675.3600,mudstone_layer2
1110443.0000,1253514.0000,1547.0400,mudstone_layer2
1110128.3000,1256763.9000,1464.9900,mudstone_layer2
1113822.077,1244388.249,1679.36,mudstone_layer2
1111932,1251951,1581,mudstone_layer2
1109801.423,1241409.746,1596.89,mudstone_layer2
1110569.862,1239458.194,1512.721639,mudstone_layer2

1110128.3000,1256763.9000,1452.6000,sandstone_layer2
1110443.0000,1253514.0000,1536.7200,sandstone_layer2
1115192.1000,1256953.2000,1671.3500,sandstone_layer2
1114345,1249114,1691,sandstone_layer2
1113822.077,1244388.249,1669.57,sandstone_layer2
1111932,1251951,1574,sandstone_layer2
1109801.423,1241409.746,1579.97,sandstone_layer2
1110569.862,1239458.194,1498.731421,sandstone_layer2
1113766.357,1244162.306,1669.87,sandstone_layer2

1115192.1000,1256953.2000,1670.1900,mudstone_layer1
1110443.0000,1253514.0000,1535.9000,mudstone_layer1
1110128.3000,1256763.9000,1451.0700,mudstone_layer1
1114345,1249114,1690,mudstone_layer1
1111932,1251951,1573,mudstone_layer1
1113822.077,1244388.249,1668.24,mudstone_layer1
1113766.357,1244162.306,1666.64,mudstone_layer1
1109801.423,1241409.746,1578.28,mudstone_layer1
1110569.862,1239458.194,1497.527202,mudstone_layer1



1115192.1000,1256953.2000,1646.8000,sandstone_layer1
1110443.0000,1253514.0000,1516.1200,sandstone_layer1
1110128.3000,1256763.9000,1430.1900,sandstone_layer1
1114345,1249114,1682,sandstone_layer1
1111932,1251951,1571,sandstone_layer1
1113822.077,1244388.249,1641.94,sandstone_layer1
1113766.357,1244162.306,1615.10,sandstone_layer1
1109801.423,1241409.746,1566.648838,sandstone_layer1
1110569.862,1239458.194,1483.270323,sandstone_layer1

1116942,1249586,1591,sandstone_layer1

1118013,1251154,1631.7137,sandstone_layer1

1102042.5,1248233.9,1033.3953,sandstone_layer1

1115775.4510,1247563.8370,1772.3000,sandstone_layer4
1115775.4510,1247563.8370,1770.9700,mudstone_layer3
1115775.451,1247563.837,1764.727937,sandstone_layer3
1115775.451,1247563.837,1763.010403,mudstone_layer2
1115775.451,1247563.837,1756.55741,sandstone_layer2
1115775.451,1247563.837,1755.203807,mudstone_layer1
1115775.451,1247563.837,1720.7435,sandstone_layer1

1102487.745,1248992.597,906.73,sandstone_layer4
1102487.745,1248992.597,905.41,mudstone_layer3
1102487.745,1248992.597,894.83,sandstone_layer3
1102487.745,1248992.597,891.88,mudstone_layer2
1102487.745,1248992.597,886,sandstone_layer2
1102487.745,1248992.597,884.47,mudstone_layer1
1102487.745,1248992.597,851.32,sandstone_layer1


1116630.3,1253949.3,1675.6014,sandstone_layer1

1104513.2,1252070.8,1180.3759,sandstone_layer1

1105173.79,1250786.38,1299.5234,sandstone_layer1

1103177.6,1251340.4,928.9058,sandstone_layer1

1107236,1249428,1524.6,sandstone_layer1

1107969.2,1247096.9,1470.485,sandstone_layer1

1114910,1245810,1575.89,sandstone_layer1

1109108.7,1249401.8,1539.62,sandstone_layer1


1117002.2,1254532.8,1658.4192,sandstone_layer1

1114544.5,1257602.6,1626.446,sandstone_layer1

1101919.9,1248140.6,1018.002,sandstone_layer1

1105508.1,1247035.0,1383.2148,sandstone_layer1

1107663.3,1246976.6,1446.1873,sandstone_layer1

1107668.2,1253212.0,1528.6124,sandstone_layer1

1109944.5,1252578.6,1580.6107,sandstone_layer1

1109291.4,1250047.4,1604.477,sandstone_layer1

1103824.2,1247905.4,1159.1629,sandstone_layer1



1103054.4,1248267.2,1037.7805,sandstone_layer1

1116304.1,1255768.2,1672.5939,sandstone_layer1



1117451.8,1253221.9,1694.314,sandstone_layer1


1111405.382,1258189.376,1431.56995,sandstone_layer1

1110227.683,1257822.128,1408.44324,sandstone_layer1

1113643.928,1258245.298,1618.77039,sandstone_layer1

1108127,1238496,1161.0562,sandstone_layer1


1100838.228,1247415.019,757.11914,sandstone_layer1
1108069.682,1237996.767,1121.15356,sandstone_layer1
1107819.285,1237793.112,1096.91614,sandstone_layer1
1108124.769,1238489.214,1161.05615,sandstone_layer1
1108340.11,1238550.979,1205.79919,sandstone_layer1
1108707.359,1238485.876,1270.66089,sandstone_layer1



1112794.5,1242178.7,1570.7495,sandstone_layer1


1116170.2,1247756.9,1597.3,sandstone_layer1

1116130.8,1248660.3,1647.7949,sandstone_layer1
1110957.8,1242736.5,1490.8927,sandstone_layer1
1111197.1,1242426.5,1509.5686,sandstone_layer1
1111594.4,1242053.9,1558.452,sandstone_layer1


1112183.3,1241416.4,1511.9485,sandstone_layer1

1108649.3,1238494.8,1244.4424,sandstone_layer1


1113039,1248537,1691,sandstone_layer1
1112409,1247907,1681,sandstone_layer1
1113748,1247006,1667,sandstone_layer1
1111414,1246580,1587,sandstone_layer1
1111993,1245756,1618,sandstone_layer1
1112526,1245878,1616,sandstone_layer1
1111106,1244860,1585,sandstone_layer1
1108467,1241987,1523,sandstone_layer1



1101433,1248088,921.25928,F.LosSantos
1101629,1247685,957.69421,F.LosSantos
1102055,1247412,1006.12146,F.LosSantos
1102533,1247106,1023.04071,F.LosSantos
1102932,1246973,1058.46545,F.LosSantos
1103324,1246665,1077.77502,F.LosSantos
1103713,1246307,1114.20337,F.LosSantos
1103848,1246102,1144.74622,F.LosSantos
1103916,1245804,1139.58154,F.LosSantos
1103996,1245245,1132.60449,F.LosSantos
1104052,1244775,1131.35022,F.LosSantos
1104516,1243718,1191.64429,F.LosSantos
1104292,1244315,1147.0614,F.LosSantos
1104767,1242918,1146.56287,F.LosSantos
1105465,1241928,1168.86108,F.LosSantos
